ID,Field,latitude,longitude,year,Crop,planting_date,obs_planting_delta
ID_35.5_-91.0,Field_35.5_-91.0,35.5,-91,2021,Corn,5/3/2021,96
ID_35.5_-90.75,Field_35.5_-90.75,35.5,-90.75,2021,Corn,5/3/2021,97
ID_33.75_-92.75,Field_33.75_-92.75,33.75,-92.75,2021,Corn,5/2/2021,99
ID_33.75_-92.5,Field_33.75_-92.5,33.75,-92.5,2021,Corn,5/2/2021,99
ID_34.0_-92.75,Field_34.0_-92.75,34,-92.75,2021,Corn,5/2/2021,100
ID_34.0_-92.5,Field_34.0_-92.5,34,-92.5,2021,Corn,5/2/2021,100
ID_33.75_-91.25,Field_33.75_-91.25,33.75,-91.25,2021,Corn,4/13/2021,105
ID_33.5_-92.0,Field_33.5_-92.0,33.5,-92,2021,Corn,4/14/2021,105
ID_33.5_-91.75,Field_33.5_-91.75,33.5,-91.75,2021,Corn,4/14/2021,106
ID_33.5_-91.5,Field_33.5_-91.5,33.5,-91.5,2021,Corn,4/14/2021,105
ID_35.0_-92.25,Field_35.0_-92.25,35,-92.25,2021,Corn,5/3/2021,101
ID_35.25_-92.25,Field_35.25_-92.25,35.25,-92.25,2021,Corn,5/4/2021,104
ID_35.5_-94.0,Field_35.5_-94.0,35.5,-94,2021,Corn,5/2/2021,104
ID_35.5_-93.75,Field_35.5_-93.75,35.5,-93.75,2021,Corn,5/3/2021,105
ID_36.25_-92.0,Field_36.25_-92.0,36.25,-92,2021,Corn,5/5/2021,105
ID_36.25_-91.75,Field_36.25_-91.75,36.25,-91.75,2021,Corn,5/5/2021,105
ID_36.25_-91.5,Field_36.25_-91.5,36.25,-91.5,2021,Corn,5/5/2021,103
ID_36.5_-92.0,Field_36.5_-92.0,36.5,-92,2021,Corn,5/5/2021,108
ID_36.5_-91.75,Field_36.5_-91.75,36.5,-91.75,2021,Corn,5/5/2021,108
ID_36.5_-91.5,Field_36.5_-91.5,36.5,-91.5,2021,Corn,5/5/2021,107
ID_34.5_-93.5,Field_34.5_-93.5,34.5,-93.5,2021,Corn,5/4/2021,104
ID_34.5_-93.25,Field_34.5_-93.25,34.5,-93.25,2021,Corn,5/3/2021,104
ID_34.5_-93.0,Field_34.5_-93.0,34.5,-93,2021,Corn,5/3/2021,104
ID_34.75_-93.5,Field_34.75_-93.5,34.75,-93.5,2021,Corn,5/4/2021,104
ID_34.75_-93.25,Field_34.75_-93.25,34.75,-93.25,2021,Corn,5/4/2021,104
ID_34.25_-92.75,Field_34.25_-92.75,34.25,-92.75,2021,Corn,5/3/2021,100
ID_34.25_-92.5,Field_34.25_-92.5,34.25,-92.5,2021,Corn,5/2/2021,101
ID_34.25_-92.25,Field_34.25_-92.25,34.25,-92.25,2021,Corn,5/2/2021,101
ID_33.5_-93.75,Field_33.5_-93.75,33.5,-93.75,2021,Corn,5/2/2021,98
ID_33.75_-93.75,Field_33.75_-93.75,33.75,-93.75,2021,Corn,5/2/2021,100
ID_34.25_-93.0,Field_34.25_-93.0,34.25,-93,2021,Corn,5/3/2021,101
